Event.Id,Event.Date,Location,Make,Model,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Broad.phase.of.flight,Aircraft.Category,Number.of.Engines
20171024X15807,2017-10-24,"Olton, TX",AIR TRACTOR INC,AT 502B,Turbo Prop,0.0,0.0,NULL,Airplane,1.0
20171024X93521,2017-10-24,"Tacoma, WA",CESSNA,A185,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171025X14620,2017-10-24,"Tracy, CA",SCHWEIZER AIRCRAFT CORP,G 164B,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171025X21112,2017-10-24,"Arlington, WA",ROBINSON,R22,Reciprocating,1.0,1.0,NULL,Helicopter,1.0
20171025X82017,2017-10-24,"Groom, TX",BELL,206B,Turbo Shaft,0.0,0.0,NULL,Helicopter,1.0
20171122X93132,2017-10-24,"Sao Felix do Xingu, Brazil",CESSNA,A188,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171026X00846,2017-10-26,"Mabton, WA",SIX CHUTER WEST LLC,LEGEND XL,Reciprocating,0.0,1.0,NULL,Powered Parachute,1.0
20171026X33444,2017-10-26,"Bristol, TN",JOHN A BREWER,ELA AVIACION 10 ECLI,Reciprocating,0.0,0.0,NULL,Gyrocraft,1.0
20171026X85022,2017-10-26,"Lewiston, ID",STINSON,108,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171031X55947,2017-10-26,"La Paloma, TX",AIRBUS HELICOPTERS,EC 130,Turbo Shaft,0.0,0.0,NULL,Helicopter,1.0
20171030X43813,2017-10-27,"Tallahassee, FL",SMITH,AEROSTAR 600A,Reciprocating,0.0,0.0,NULL,Airplane,2.0
20171030X93600,2017-10-27,"West Seneca, NY",PIPER,PA28,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171030X65427,2017-10-28,"Mount Vernon, WA",CESSNA,P210N,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171109X83610,2017-10-28,"Chandler, AZ",STILL MICHAEL J,TITAN T-51,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171120X80151,2017-10-28,"Skwentna, AK",CESSNA,182,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171030X51816,2017-10-29,"Berlin, NH",EVOLUTION AIRCRAFT INC,REVO,Reciprocating,0.0,0.0,NULL,Weight-Shift,1.0
20171030X25446,2017-10-30,"Port Townsend, WA",Cessna,140,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171031X04749,2017-10-30,"Dawsonville, GA",PIPER,PA 32R-300,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171031X10251,2017-10-30,"Selma, CA",METCALFE ROBERT B,VANS RV 6,Reciprocating,0.0,0.0,NULL,Airplane,1.0
